지점,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),강수 계속시간(hr),10분 최다 강수량(mm),10분 최다강수량 시각(hhmi),1시간 최다강수량(mm),1시간 최다 강수량 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),최대 순간 풍속 풍향(16방위),최대 순간풍속 시각(hhmi),최대 풍속(m/s),최대 풍속 풍향(16방위),최대 풍속 시각(hhmi),평균 풍속(m/s),풍정합(100m),평균 이슬점온도(°C),최소 상대습도(%),최소 상대습도 시각(hhmi),평균 상대습도(%),평균 증기압(hPa),평균 현지기압(hPa),최고 해면기압(hPa),최고 해면기압 시각(hhmi),최저 해면기압(hPa),최저 해면기압 시각(hhmi),평균 해면기압(hPa),가조시간(hr),합계 일조시간(hr),1시간 최다일사 시각(hhmi),1시간 최다일사량(MJ/m2),합계 일사량(MJ/m2),일 최심신적설(cm),일 최심신적설 시각(hhmi),일 최심적설(cm),일 최심적설 시각(hhmi),합계 3시간 신적설(cm),평균 전운량(1/10),평균 중하층운량(1/10),평균 지면온도(°C),최저 초상온도(°C),평균 5cm 지중온도(°C),평균 10cm 지중온도(°C),평균 20cm 지중온도(°C),평균 30cm 지중온도(°C),0.5m 지중온도(°C),1.0m 지중온도(°C),1.5m 지중온도(°C),3.0m 지중온도(°C),5.0m 지중온도(°C),합계 대형증발량(mm),합계 소형증발량(mm),9-9강수(mm),안개 계속시간(hr)
156,2024-01-11,2.4,-2.8,424,7.5,1524,,,,,,,5.7,290,1547,2.9,270,1549,.9,813,-1.1,53,1528,79.3,5.7,1011.5,1023,205,1018.3,2318,1020.3,10,5.4,1200,2.07,10.91,,,,,,5.5,5.5,2.5,-8.3,,,,,,,,,,1.2,1.7,,
156,2024-01-12,5.2,1.7,2400,10.3,1402,,,,,,,5.2,360,1730,2.8,50,1710,.8,680,-2.9,28,1742,60.4,5.3,1011,1022.1,2243,1018.1,455,1019.7,10,8.1,1300,2.04,11.68,,,,,,2,2,5.2,-5.2,,,,,,,,,,1.7,2.4,,
156,2024-01-13,3.3,-.9,750,8.5,1529,,,,,,,3.6,290,1440,1.8,20,1341,.8,692,-6.7,31,1526,49.1,3.7,1016.5,1026.9,1055,1022.1,1,1025.3,10,9.2,1200,2.16,13.28,,,,,,0,0,2.7,-6.9,,,,,,,,,,1.7,2.4,,
156,2024-01-14,5.4,-1,711,14.7,1357,3.08,,,,,.7,7.2,270,1445,3.9,270,1447,1,895,1.7,53,1218,78.3,7.3,1013.9,1026.5,30,1018.9,1716,1022.6,10,6,1100,1.89,9.79,,,,,,4.8,4.5,4.2,-6.2,,,,,,,,,,1.3,1.9,,
156,2024-01-15,.6,-2.6,749,5.2,1417,,,,,,,5.5,70,1506,2.6,50,1511,1.3,1128,-7,27,1309,59.4,3.7,1019.4,1031.3,2118,1023.2,1,1028.4,10,9.3,1200,2.3,14.1,,,,,,.3,.3,3.2,-6.9,,,,,,,,,,1.7,2.5,,
156,2024-01-16,2.4,-3.3,736,8.7,1507,,,,,,,5.8,70,726,3.4,70,728,1.1,949,-8.1,27,1510,47.3,3.4,1023.1,1033.3,1102,1030.4,150,1032,10.1,8.1,1100,2.08,12.45,,,,,,4.5,2.1,2.2,-8.4,,,,,,,,,,1.5,2.2,,
156,2024-01-17,6.4,3,204,9.7,1558,7.48,,,,,.9,2.9,70,1527,1.4,90,1528,.4,341,2.4,53,3,76.4,7.6,1017,1031.8,3,1021,2348,1025.7,10.1,0,1000,.5,3.06,,,,,,9.4,6.5,5,.5,,,,,,,,,,.5,.7,,
156,2024-01-18,8.5,7.5,2001,10.1,329,12.28,,,,,4.1,3.9,70,1634,2.4,70,1641,.8,690,8.3,99,1,99,10.9,1013.2,1024.1,2254,1020.3,320,1021.8,10.1,0,1200,.41,2.82,,,,,,10,8.1,8.1,7.5,,,,,,,,,,.4,.6,,
156,2024-01-19,7.4,5.8,2225,9.2,1436,9.52,,,,,.1,7,70,2258,4.2,70,2319,2.4,2088,6.3,83,1729,93.5,9.6,1016.5,1026.8,1020,1023.9,1,1025.2,10.1,0,1100,.71,3.43,,,,,,10,6.9,7.7,5.1,,,,,,,,,,.5,.7,,
156,2024-01-20,5.7,4.6,2259,6.9,1304,21.62,,,,,15.7,9.4,70,1400,5.9,70,523,4.1,3533,5.4,94,1,98.4,9,1012.5,1025.8,15,1018.5,1503,1021.2,10.2,0,1200,.46,2.83,,,,,,10,5.9,6.6,4,,,,,,,,,,.4,.5,,
156,2024-01-21,5,2,2400,8.8,1255,8.7,,,,,.2,6.2,340,2230,2.7,70,3,1.2,1013,4.4,87,2317,96.1,8.4,1016,1028.4,2211,1020.4,33,1024.7,10.2,1.1,1000,1.48,5.86,,,,,,9.3,8.1,6.3,2.2,,,,,,,,,,.7,.9,,
156,2024-01-22,-2.7,-5,2354,2.1,1,20.6,,,,,0,8.5,50,1034,4.5,50,1327,2.2,1922,-5.5,63,1724,81.3,4.1,1019.9,1030,905,1027.6,1439,1029,10.2,2.7,1300,1.17,7.8,2.1,2400,2.1,2400,3,9,8.8,2.3,-3.9,,,,,,,,,,.6,.9,,
156,2024-01-23,-5.2,-6.7,720,-3.4,1351,24,,,,,1.3,7.4,50,1653,3.1,320,1436,1.4,1204,-6.3,76,1443,91.9,3.8,1018.1,1029,1010,1025.4,1640,1027.3,10.2,.3,1100,.59,3.64,8.5,2136,10.6,2136,8.5,8.5,8.5,1.5,-3.3,,,,,,,,,,.3,.4,,
156,2024-01-24,-3.7,-7,253,-1,1248,13.83,,,,,0,9.1,50,1453,4.8,50,1502,1.9,1626,-6.9,58,1455,79.6,3.7,1018.3,1029.3,2338,1026.1,107,1027.4,10.3,4.2,1400,1.49,6.02,1.3,900,9.6,1,1.4,5.8,5.8,1.8,-3.4,,,,,,,,,,.7,1,,
156,2024-01-25,-1.7,-5.5,355,2.4,1448,,,,,,,6.2,320,1525,3.1,50,202,1.4,1214,-7.4,40,1336,66.3,3.5,1020.8,1031.1,2349,1028.2,1504,1029.8,10.3,9,1300,2.18,13.68,,,4.3,1,,2.3,1.5,1.4,-6.7,,,,,,,,,,1.4,1.9,,
156,2024-01-26,1.4,-3.5,506,6.3,1320,,,,,,,5.3,340,1403,2.3,70,249,1.3,1150,-2.9,53,1321,73.9,4.9,1020.8,1031.2,3,1028.4,1449,1029.7,10.3,8.3,1300,2.24,13.5,,,,,,2.4,2.4,2.6,-7.4,,,,,,,,,,1.4,2,,
156,2024-01-27,2.4,-1,249,7.5,1420,,,,,,,5,270,1528,2.4,320,1550,.9,758,-2.3,44,1557,73.5,5.2,1019,1029.8,1025,1025.9,1625,1027.9,10.3,7.4,1300,2.11,12.92,,,,,,5,4.5,3.4,-5.9,,,,,,,,,,1.5,2.2,,
156,2024-01-28,1.8,-1.4,745,6.1,1509,,,,,,,6.6,50,1532,3.3,50,700,1.3,1099,-3.8,49,1353,67.4,4.6,1020.6,1031.7,2350,1026.8,118,1029.6,10.4,6.7,1100,2.13,11.22,,,,,,2.9,2.9,2.6,-6.9,,,,,,,,,,1.2,1.7,,
156,2024-01-29,1.4,-2.2,254,5.8,1459,,,,,,,5,70,1151,2.8,70,954,1.2,1036,-4.4,41,1559,67.1,4.4,1022.5,1032.8,1103,1029.9,1711,1031.4,10.4,7.8,1200,2.39,14.05,,,,,,2.8,2.8,3.1,-7.7,,,,,,,,,,1.5,2.1,,
156,2024-01-30,4.2,-2.1,616,10.7,1412,2.42,,,,,.2,4.5,290,1625,2,70,23,.8,653,-3.4,32,1459,61.9,4.8,1019.5,1031.5,1,1025.9,2330,1028.3,10.4,5.6,1200,2.41,12.37,,,,,,6.3,6,3.7,-7.7,,,,,,,,,,1.6,2.2,,
156,2024-01-31,8.9,3.9,635,16.1,1503,10.08,,,,,1,5.7,70,631,3.7,70,631,1.4,1202,4.6,53,2059,78,8.6,1014.9,1026.6,109,1020.6,1503,1023.6,10.4,6.4,1200,2.32,13.4,,,,,,6.9,6.1,9.7,4.2,,,,,,,,,,1.9,2.7,,
156,2024-02-01,6.5,4.9,2351,8.7,1514,4.5,,,,,.4,5.2,70,618,2.9,70,728,1.2,1053,1.7,60,1527,72.1,6.9,1015.4,1025.9,2248,1022.2,1341,1024.1,10.5,0,1200,.9,4.77,,,,,,10,8.5,7.3,4.4,,,,,,,,,,.7,1,,
156,2024-02-02,5.4,2.9,2302,11.1,1528,,,,,,,5.1,320,1656,2.6,270,1424,.9,812,1.8,59,1529,78.8,7,1018.4,1029,2220,1025.4,356,1027.1,10.5,5.1,1200,2.17,11.24,,,,,,6.6,5.5,7.3,-2,,,,,,,,,,1.2,1.7,,
156,2024-02-03,5.9,2.7,250,10.5,1428,9,,,,,4.5,5.8,70,1604,2.9,70,1610,.9,776,3.8,60,1457,87.9,8.1,1017.6,1028.6,107,1023.8,1544,1026.4,10.5,0,1100,.92,5.44,,,,,,9.5,5.4,6.7,-.8,,,,,,,,,,.7,1,,
156,2024-02-04,7.2,4.4,235,11.7,1414,8.08,,,,,7.4,6.9,90,1735,4,70,1752,1.8,1540,5.9,72,1420,92.5,9.3,1014.7,1026.6,1033,1020,2355,1023.4,10.6,.4,1200,1.56,7.39,,,,,,9.4,7,8.1,3.8,,,,,,,,,,.9,1.3,,
156,2024-02-05,5.9,4.9,352,7.3,1453,19.07,,,,,13.8,9.1,70,415,5.6,70,321,2.2,1869,5.7,99,1,99,9.1,1009.5,1024.1,2349,1012.9,618,1018.1,10.6,0,1200,.77,3.9,,,,,,10,8,7.6,5.1,,,,,,,,,,.4,.6,,
156,2024-02-06,4.6,3.1,2333,6.4,1537,4.58,,,,,0,5.4,50,1538,2.8,70,2018,1.2,1078,2.5,64,1650,87.1,7.4,1016.1,1026.6,953,1023.7,58,1024.9,10.6,0,1300,.74,4.88,,,,,,9.4,7.5,6.3,.1,,,,,,,,,,.7,1,,
156,2024-02-07,2.4,-.6,2354,6.1,1504,,,,,,,5.6,290,1321,2.6,50,916,1.1,990,-2.9,47,1430,69.1,5,1015,1025.4,751,1021.7,1537,1023.8,10.7,9.4,1300,2.5,16.02,,,,,,2.8,2.4,4.9,-6.6,,,,,,,,,,1.5,2.2,,
156,2024-02-08,1.7,-2.5,700,6.9,1510,,,,,,,4.4,320,1745,1.9,320,2034,.9,807,-2.2,45,1506,77.5,5.2,1013.4,1023.7,659,1019.9,1533,1022.2,10.7,8.7,1300,2.27,15.26,,,,,,3.1,0,4,-7.8,,,,,,,,,,1.6,2.2,,
156,2024-02-09,2.3,-1.7,717,7.7,1438,,,,,,,5.6,320,1630,2.3,340,1807,.9,752,-2.3,47,1357,74.4,5.2,1014.5,1024.9,2220,1021.8,1442,1023.3,10.7,8.3,1100,2.26,14.83,,,,,,1.5,1.1,3.7,-7.6,,,,,,,,,,1.6,2.2,,
156,2024-02-10,3.2,-1.8,714,9.3,1335,,,,,,,4.4,320,1535,2.4,270,1408,.6,551,-.7,47,1407,78,5.8,1016,1026.2,918,1023.1,1529,1024.8,10.7,8.4,1200,2.36,13.92,,,,,,.8,.8,3.4,-7.5,,,,,,,,,,1.4,2,,
156,2024-02-11,3.2,-1.2,733,9.1,1348,,,,,,,8.3,290,1448,4.5,270,1449,.9,807,-1.1,40,1419,75.8,5.7,1017.4,1028.7,2336,1023.7,1356,1026.3,10.8,7.6,1400,2.14,13.79,,,,,,1,1,4,-7.1,,,,,,,,,,1.4,2.1,,
156,2024-02-12,5.8,-.9,723,13,1443,,,,,,,4.4,200,1550,2.5,270,1634,.9,760,-.6,27,1429,67.3,5.8,1021.4,1032.2,1011,1028.6,22,1030.2,10.8,9.7,1200,2.66,17.15,,,,,,0,0,5.8,-6.9,,,,,,,,,,2.3,3.3,,
156,2024-02-13,10.6,3.4,720,17.6,1418,,,,,,,10.1,200,1546,5.2,200,1551,1.5,1287,5.8,49,1341,73.5,9.3,1018.5,1029.8,1,1025.2,1804,1027.1,10.8,8.7,1200,2.59,15.54,,,,,,4.6,4.6,9.4,-2.3,,,,,,,,,,2.4,3.4,,
156,2024-02-14,13.5,10.6,248,19,1555,5.7,,,,,5.8,6.1,200,1434,3.4,270,1612,1,866,12.8,72,1,95.6,14.9,1013.7,1025.4,1,1019.7,1549,1022.2,10.9,3.6,1400,1.71,8.1,,,,,,7.1,4.9,12.1,5.6,,,,,,,,,,1.2,1.7,,
156,2024-02-15,6.4,.5,2311,12.4,6,.95,,,,,0,9.3,360,1850,3.5,50,1353,1.5,1267,3.4,48,1851,82.9,8.6,1012.1,1026.1,2400,1016.9,821,1020.8,10.9,.9,1600,.8,3.51,,,,,,7,4.6,6.6,-4.4,,,,,,,,,,.7,1,,
156,2024-02-16,4.2,-1.3,719,10.9,1603,,,,,,,4.6,270,1444,2.1,270,1511,1,872,-1.9,41,1531,66,5.3,1016.1,1027.4,854,1022.4,1646,1024.9,10.9,9.5,1200,2.73,17.65,,,,,,2.5,1,5.3,-7.1,,,,,,,,,,2.1,3,,
156,2024-02-17,7.7,.5,709,15.8,1620,,,,,,,6.4,270,1742,3.4,230,1918,.9,772,2.9,46,1520,75.3,7.6,1013.4,1024.1,857,1019.9,1442,1022.1,11,10.1,1200,2.73,18.35,,,,,,0,0,7.1,-5.4,,,,,,,,,,2.2,3.2,,
156,2024-02-18,10.9,4.2,259,14.9,2328,9,,,,,37.7,8.4,230,1434,3.9,200,1523,1,904,9.7,81,1108,92.8,12.5,1009.5,1022.1,31,1012.5,2356,1018,11,0,1000,.44,2.91,,,,,,8.3,6.4,8.3,-2.7,,,,,,,,,,.5,.7,,
156,2024-02-19,11.6,5.6,2354,17,356,14.5,,,,,4.2,10.9,230,358,5.1,230,339,1.7,1498,11.4,99,1,99,13.8,1005.2,1019.8,2311,1009.1,657,1013.6,11.1,0,1100,.23,1.78,,,,,,10,9.4,12.2,6.1,,,,,,,,,,.4,.5,,
156,2024-02-20,6.9,4.9,243,8.5,1750,14.77,,,,,7.1,5.8,70,650,3.3,70,659,1.2,1079,6.7,99,1,99,9.9,1012,1022.3,822,1018.9,435,1020.7,11.1,0,1100,.37,2.33,,,,,,9.8,7.9,8.1,4,,,,,,,,,,.4,.6,,
156,2024-02-21,7.1,5.1,2341,9,957,20.62,,,,,14.3,6.6,70,2033,3.5,70,1504,1.9,1643,6.9,99,1,99,10,1008.6,1020.2,1,1015.1,1401,1017.2,11.1,0,1200,.52,3.16,,,,,,10,7.9,8.9,5.7,,,,,,,,,,.4,.6,,
156,2024-02-22,4.5,3.6,2346,5.6,1311,24,,,,,4.6,6.6,70,309,3.7,70,229,2.1,1820,4.3,99,1,99,8.3,1015.1,1026.4,2119,1019.4,2,1023.8,11.2,0,1300,.57,3.49,,,,,,10,8.5,6.8,4.3,,,,,,,,,,.4,.6,,
156,2024-02-23,4.1,3.2,313,5.3,1646,14.07,,,,,1.7,6.1,70,2243,3.9,70,2251,1.1,971,3.9,98,1917,99,8.1,1019.3,1030.2,2003,1025.4,342,1028.1,11.2,0,1000,.62,3.22,,,,,,9.8,8,6.2,2.3,,,,,,,,,,.4,.6,,
156,2024-02-24,4.2,1.8,719,8.1,1310,9.75,,,,,6.6,6.7,70,126,4.2,70,122,1.8,1594,2.4,62,1328,89.8,7.3,1018.4,1030.1,854,1024.5,2347,1027.3,11.2,1.2,1100,1.85,7.82,,,,,,9.9,8.1,6.3,2,,,,,,,,,,.9,1.2,,
156,2024-02-25,4.1,1.7,22,6.9,1545,9.73,,,,,.9,5.1,70,321,2.9,70,324,1.5,1323,3.4,86,1634,96.1,7.8,1014.7,1026.3,2340,1021.8,1355,1023.5,11.3,0,1200,1.01,5.59,,,,,,8.4,5.5,5.9,-2.1,,,,,,,,,,.6,.9,,
156,2024-02-26,5.5,.6,439,12,1435,,,,,,,7.9,50,1127,4.2,70,1135,1.4,1177,1.8,47,1401,80.1,7,1018.3,1029,807,1025.1,1708,1027.1,11.3,9.8,1300,2.83,18.73,,,,,,3.1,1.4,6.4,-4.8,,,,,,,,,,2.3,3.2,,
156,2024-02-27,7,2.4,539,12.5,1610,,,,,,,5.9,200,2039,3.4,180,1934,1.2,1058,.1,40,1259,64.5,6.2,1020.2,1030.4,2346,1027.4,1741,1029,11.3,5.7,1200,2.41,14.34,,,,,,5.6,4.3,8.7,-2.1,,,,,,,,,,1.9,2.8,,
156,2024-02-28,8.5,1.7,623,15.6,1450,,,,,,,6.3,50,1535,4,200,1901,1.3,1145,.2,36,1402,57.6,6.2,1019,1030.5,33,1024.3,1637,1027.7,11.4,8.2,1200,2.85,18.11,,,,,,5.1,4.5,9.9,-3.2,,,,,,,,,,2.5,3.6,,
156,2024-02-29,6.4,4.1,2349,8.9,1,7.75,,,,,2.3,7.2,70,1403,3.5,70,1404,1.5,1291,4,63,1,85.1,8.1,1013.7,1027.4,27,1019.6,1526,1022.4,11.4,0,1300,.69,4.26,,,,,,9.3,6,6.9,1.5,,,,,,,,,,.8,1.1,,
156,2024-03-01,-.9,-3.7,2338,4.2,3,.53,,,,,0,11.1,50,1230,5.4,50,1106,2.8,2435,-9.5,40,1450,53.1,3,1016.6,1027.6,2157,1022.7,1,1025.5,11.4,9,1100,2.59,17.42,,,,,,2.3,1.6,2.1,-6.2,,,,,,,,,,1.7,2.4,,
156,2024-03-02,.5,-5.4,438,7.1,1430,,,,,,,7.6,270,1609,4.2,270,1610,1.6,1412,-6.6,34,1433,60.9,3.8,1014.6,1027.4,55,1020.6,1744,1023.5,11.5,10.1,1200,3.21,20.26,,,,,,.6,.6,5.5,-9,,,,,,,,,,2,2.9,,
156,2024-03-03,6.4,1.6,3,11.5,1546,1.5,,,,,.4,9.8,290,1547,4.3,270,1629,1.6,1357,1.9,44,1547,75.4,7.1,1011.6,1021.6,2331,1018.6,1500,1020.3,11.5,6.7,1100,2.1,13.61,,,,,,3.9,3.9,6.3,-4.4,,,,,,,,,,1.5,2.2,,
156,2024-03-04,8.3,3,639,13.8,1233,1.33,,,,,0,6.9,70,2359,4.2,70,2400,.8,717,2,36,1720,68.8,7.1,1011.9,1023.7,925,1016.7,2350,1020.5,11.6,,,,,,,,,,6.9,3.8,8.3,-2.1,,,,,,,,,,,,,
156,2024-03-05,6.9,5.2,635,8.9,1,13.7,,,,,4.1,10,70,707,6.3,70,234,3.5,2994,6.2,63,1,95.9,9.5,1003.4,1017.1,51,1009,1607,1012,11.6,0,1400,.42,3.1,,,,,,9.9,6.4,7.3,5.7,,,,,,,,,,.5,.8,,
156,2024-03-06,9,4.5,2357,14.7,1251,,,,,,,6.2,320,1527,3.2,70,913,1.7,1477,3.9,38,1238,73.4,8.1,1006.8,1019,2306,1011.7,131,1015.4,11.6,8.8,1100,2.63,17.95,,,,,,5.1,1.8,11.9,-.1,,,,,,,,,,2.4,3.4,,
156,2024-03-07,4.8,2.4,2353,8.3,1316,,,,,,,7.3,270,1454,3.5,270,1230,1.4,1236,-.8,45,1555,69.5,5.9,1010.3,1020.3,733,1017.1,1459,1019,11.7,6.8,1100,2.35,15.01,,,,,,4.6,1.6,7.3,-3.4,,,,,,,,,,1.7,2.5,,
156,2024-03-08,4.2,1.1,502,8.7,1338,.3,,,,,0,11,360,1452,5.2,20,1219,2,1692,-4.6,28,1104,55.8,4.4,1011.8,1023,2400,1019,403,1020.5,11.7,9.4,1300,3.01,21.18,,,,,,1.9,1.9,7.4,-4.3,,,,,,,,,,2.7,3.9,,
156,2024-03-09,3.5,-.7,651,9.3,1409,,,,,,,7.6,360,1614,3.2,320,1610,1.3,1132,-5.7,33,1308,52,4,1016.5,1028,2347,1022.9,1,1025.3,11.7,10.8,1200,3.1,21.98,,,,,,0,0,7.9,-6.9,,,,,,,,,,2.6,3.7,,
156,2024-03-10,5.6,-1.6,649,14.1,1528,,,,,,,4.7,250,1917,2.7,70,1036,1,878,-5.3,18,1641,50.3,4.1,1020,1030.9,951,1026.5,1628,1028.8,11.8,10.8,1200,3.09,22.02,,,,,,1,0,9.4,-8,,,,,,,,,,3.2,4.6,,
156,2024-03-11,7.2,1.4,711,12.7,1155,2.85,,,,,0,8.9,200,1618,4.9,200,1624,1.1,922,1.9,50,929,70.8,7.2,1012.4,1028.3,10,1016.5,2344,1021,11.8,2.7,900,1.71,9.55,,,,,,6.3,2.9,6.9,-5.3,,,,,,,,,,1.3,1.8,,
156,2024-03-12,5.3,2.9,423,9.2,1405,1.95,,,,,0,6.6,340,1408,2.9,320,1415,1,868,4.3,83,1435,93.5,8.3,1008.1,1020.7,2259,1014.7,1444,1016.8,11.9,.4,1400,1.25,6.67,,,,,,5.5,5.1,6,-2.6,,,,,,,,,,.8,1.2,,
156,2024-03-13,6.5,.9,657,14,1411,,,,,,,9,270,1412,3.8,270,1413,1.2,1018,-.9,23,1658,64.3,5.8,1014,1024.3,1024,1020.3,1,1022.7,11.9,10.6,1200,3.15,22.61,,,,,,1.3,0,10.5,-5.6,,,,,,,,,,3.3,4.8,,
156,2024-03-14,7.9,1.3,640,16.4,1450,,,,,,,5.1,320,1650,2.8,320,1809,.9,751,-.1,26,1527,59.9,6.1,1014.7,1025,2349,1021.2,1543,1023.4,11.9,10.6,1100,3.03,20.77,,,,,,1.4,0,11.8,-4.4,,,,,,,,,,3,4.2,,
156,2024-03-15,9.8,1.6,736,19.6,1444,,,,,,,5.7,270,1532,3,270,1445,.9,745,-1.2,11,1435,54,5.7,1016.4,1026.9,903,1022.9,1504,1025,12,10.8,1200,3.2,22.95,,,,,,0,0,12.7,-5,,,,,,,,,,3.9,5.6,,
156,2024-03-16,11.4,2.5,628,21.9,1454,3.02,,,,,.2,6.2,270,1436,3.6,250,1446,1.4,1211,2.2,20,1244,59.6,7.4,1013.3,1025.9,125,1018.1,1723,1021.9,12,8,1100,3.07,20.19,,,,,,5.5,3.8,15.4,-3.3,,,,,,,,,,3.5,5,,
156,2024-03-17,9.8,4.9,2242,15.1,1203,.27,,,,,0,8.4,340,1349,3.5,340,1305,1.3,1138,4.7,30,1407,74.3,9.1,1009.6,1022.6,2353,1015.7,1659,1018.2,12,6,1300,2.79,16.52,,,,,,6,4,15.4,-.1,,,,,,,,,,2.5,3.6,,
156,2024-03-18,8.8,1.9,657,17.7,1549,,,,,,,5.6,270,1756,2.7,270,1850,1.4,1177,-3.1,15,1441,46.8,4.9,1013.6,1024.9,823,1019.3,1654,1022.1,12.1,9.3,1200,3.16,22.08,,,,,,3.8,1,14.3,-3.5,,,,,,,,,,3.7,5.4,,
156,2024-03-19,8.2,4.8,2356,15.2,1141,,,,,,,13.1,290,1237,6.4,270,1300,2.3,1952,-.2,34,1111,56.4,6.1,1010.6,1022.3,48,1015.7,1535,1019.2,12.1,4.9,1100,2.33,12.77,,,,,,5.8,5.1,10,1.6,,,,,,,,,,2.3,3.3,,
156,2024-03-20,5.4,2.9,2306,9.7,1315,,,,,,,9.4,290,1302,3.9,20,1055,1.8,1585,-4.9,26,1457,49.3,4.3,1013.5,1024,938,1020.1,2,1022.2,12.1,10,1200,3.3,21.5,,,,,,1,.8,10.8,-1.7,,,,,,,,,,2.9,4.2,,
